Time,Temperature,humidity,air_pressure_at_sea_level
2023-10-29T12:00:00Z,11.8,79.9,987.3
2023-10-29T13:00:00Z,11.6,82.8,986.9
2023-10-29T14:00:00Z,12.1,82.6,987.3
2023-10-29T15:00:00Z,12.3,82.1,987.9
2023-10-29T16:00:00Z,11.9,82.1,988.7
2023-10-29T17:00:00Z,11.1,85.2,990.1
2023-10-29T18:00:00Z,10.8,84.1,991.0
2023-10-29T19:00:00Z,10.3,85.4,991.8
2023-10-29T20:00:00Z,10.4,85.4,992.4
2023-10-29T21:00:00Z,10.3,85.6,992.9
2023-10-29T22:00:00Z,10.2,86.3,993.5
2023-10-29T23:00:00Z,10.4,83.9,993.9
2023-10-30T00:00:00Z,10.3,87.0,994.0
2023-10-30T01:00:00Z,10.5,87.0,994.2
2023-10-30T02:00:00Z,10.3,87.7,994.4
2023-10-30T03:00:00Z,10.3,87.3,994.4
2023-10-30T04:00:00Z,10.1,88.8,994.6
2023-10-30T05:00:00Z,10.1,87.9,994.7
2023-10-30T06:00:00Z,10.0,89.1,995.0
2023-10-30T07:00:00Z,9.8,90.2,995.3
2023-10-30T08:00:00Z,10.4,88.1,995.8
2023-10-30T09:00:00Z,12.0,82.2,996.2
2023-10-30T10:00:00Z,13.6,75.0,996.5
2023-10-30T11:00:00Z,14.5,70.3,996.6
2023-10-30T12:00:00Z,14.8,68.9,996.3
2023-10-30T13:00:00Z,14.5,68.7,996.0
2023-10-30T14:00:00Z,14.2,69.1,995.7
2023-10-30T15:00:00Z,13.9,72.4,995.7
2023-10-30T16:00:00Z,12.6,81.4,995.8
2023-10-30T17:00:00Z,10.8,89.2,996.1
2023-10-30T18:00:00Z,10.1,93.0,996.3
2023-10-30T19:00:00Z,10.1,92.1,996.7
2023-10-30T20:00:00Z,9.6,93.2,996.9
2023-10-30T21:00:00Z,8.8,94.8,997.4
2023-10-30T22:00:00Z,8.1,96.2,997.9
2023-10-30T23:00:00Z,7.3,97.7,997.9
2023-10-31T00:00:00Z,6.8,98.7,998.4
2023-10-31T01:00:00Z,7.9,98.5,998.9
2023-10-31T02:00:00Z,7.8,99.0,999.1
2023-10-31T03:00:00Z,6.6,99.9,999.2
2023-10-31T04:00:00Z,6.3,99.8,999.5
2023-10-31T05:00:00Z,6.4,99.0,1000.0
2023-10-31T06:00:00Z,6.4,97.9,1000.7
2023-10-31T07:00:00Z,6.7,96.0,1001.3
2023-10-31T08:00:00Z,7.1,95.0,1002.0
2023-10-31T09:00:00Z,7.7,96.5,1002.7
2023-10-31T10:00:00Z,8.4,98.7,1003.2
2023-10-31T11:00:00Z,9.6,97.8,1003.8
2023-10-31T12:00:00Z,10.0,96.7,1003.8
2023-10-31T13:00:00Z,11.6,87.9,1003.9
2023-10-31T14:00:00Z,12.7,81.4,1004.2
2023-10-31T15:00:00Z,13.0,78.9,1004.2
2023-10-31T16:00:00Z,12.5,82.7,1004.6
2023-10-31T17:00:00Z,10.6,89.7,1004.6
2023-10-31T18:00:00Z,9.1,93.8,1005.0
2023-10-31T19:00:00Z,10.1,92.9,1005.0
2023-10-31T20:00:00Z,10.6,91.2,1005.0
2023-10-31T21:00:00Z,10.7,91.6,1005.1
2023-10-31T22:00:00Z,10.9,91.9,1004.4
2023-10-31T23:00:00Z,11.4,91.0,1003.8
2023-11-01T00:00:00Z,12.0,89.9,1003.2
2023-11-01T06:00:00Z,12.9,87.6,998.7
2023-11-01T12:00:00Z,13.4,77.5,994.4
2023-11-01T18:00:00Z,10.7,84.5,993.5
2023-11-02T00:00:00Z,10.8,80.8,985.5
2023-11-02T06:00:00Z,11.3,84.3,970.1
2023-11-02T12:00:00Z,11.1,82.3,962.1
2023-11-02T18:00:00Z,10.4,89.8,960.6
2023-11-03T00:00:00Z,9.8,87.2,968.4
2023-11-03T06:00:00Z,9.6,74.4,973.6
2023-11-03T12:00:00Z,12.3,67.5,977.2
2023-11-03T18:00:00Z,9.8,88.4,980.3
2023-11-04T00:00:00Z,7.5,93.5,980.9
2023-11-04T06:00:00Z,9.2,91.9,971.8
2023-11-04T12:00:00Z,13.6,76.9,961.4
2023-11-04T18:00:00Z,9.2,96.3,963.3
2023-11-05T00:00:00Z,8.6,91.9,966.4
2023-11-05T06:00:00Z,7.9,87.5,974.4
2023-11-05T12:00:00Z,11.3,67.3,983.1
2023-11-05T18:00:00Z,8.8,79.3,987.9
2023-11-06T00:00:00Z,6.7,91.4,991.0
2023-11-06T06:00:00Z,6.6,87.7,993.7
2023-11-06T12:00:00Z,10.8,66.4,997.6
2023-11-06T18:00:00Z,8.0,79.1,1000.0
2023-11-07T00:00:00Z,6.1,88.9,1000.8
2023-11-07T06:00:00Z,5.6,92.4,1003.3
2023-11-07T12:00:00Z,7.9,85.6,1002.8
2023-11-07T18:00:00Z,7.6,80.3,1001.3
2023-11-08T00:00:00Z,3.2,95.1,1009.0
